Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Meclin 50Mg, Caixa Com 15 Comprimidos",Apsen,7896637023641,53.12,"R$ 49,98 ",1.59,3% ,51.529999999999994
"Cloridrato De Ondansetrona 4Mg Althaia, Caixa Com 10 Comprimidos Revestidos",Não especificada,7898687731552,21.26,"R$ 18,56 ",2.13,10% ,19.130000000000003
"Cloridrato De Ondansetrona 4Mg Biolab, Caixa Com 10 Comprimidos Revestidos",Não especificada,7896112400387,28.36,"R$ 22,56 ",5.1,18% ,23.259999999999998
"Cloridrato De Ondansetrona 8Mg Biolab, Caixa Com 10 Comprimidos Revestidos",Não especificada,7896112400394,55.83,"R$ 36,29 ",18.42,33% ,37.41
Meclin JET Dicloridrato de Meclozina 25mg 10 comprimidos,Não especificada,7896637033343,18.61,"R$ 17,22 ",0.86,5% ,17.75
"Cloridrato De Ondansetrona Blau 4mg, Caixa Com 10 Comprimidos Revestidos",Blau,7896014679546,28.33,28.33,3.68,13% ,24.65
"Nautex 8mg, caixa com 10 comprimidos revestidos",Aché,7896658034237,60.65,60.65,7.28,12% ,53.37
Prolopa Hbs 100 25Mg 30Cpr,Roche,7896226500362,95.1,"R$ 78,41 ",14.26,15% ,80.83999999999999
Ekson 200 + 50Mg Caixa Com 30 Comprimidos,Aché,7896658020605,122.23,"R$ 100,78 ",18.33,15% ,103.9
Prolopa Bd 125mg caixa com 60 comprimidos,Roche,7896226506388,128.05,"R$ 101,85 ",23.05,18% ,105.00000000000001
Prolopa DR 250mg 30 Comprimidos,Não especificada,7896226506463,128.01,"R$ 124,17 ",0.0,0% ,128.01
Prolopa 100 25mg 30 comprimidos,Não especificada,7896226503721,95.1,"R$ 78,41 ",14.26,15% ,80.83999999999999
"Transamin 250Mg, Caixa Com 12 Comprimidos",Zydus Nikkho,7897460401668,85.92,"R$ 70,84 ",12.89,15% ,73.03
"Acido Tranexamico Ems 250Mg, Caixa Com 12 Comprimidos",EMS,7896004723020,51.66,"R$ 48,61 ",1.55,3% ,50.11
Apevitin Bc solução oral frasco com 240ml,EMS,7896004700502,53.05,"R$ 21,18 ",31.22,59% ,21.83
"Cobavital 1Mg + 4Mg, Caixa Contendo 30 Microcomprimidos",Abbott do Brasil,7891158102950,41.7,"R$ 35,53 ",5.07,12% ,36.63
Cobavital 16 Microcomprimidos,Abbott do Brasil,7896255767330,24.08,"R$ 21,27 ",2.15,9% ,21.93
"Xalacom 2,5ml Solução Oftálmica Pfizer",Upjohn Brasil,7908236800841,273.78,273.78,27.38,10% ,246.39999999999998
"Drenata 50mcg mL 2,5mL Solução Oftálmica Legrand",Germed Pharma,7896004724843,173.73,173.73,8.69,5% ,165.04
"Latanoprosta + Maleato de Timolol Solução Oftálmica Genérico Germed 2,5ml",Germed Pharma,7896004724515,165.82,165.82,79.59,48% ,86.22999999999999
Travatan Bak Free Colírio 5mL,Novartis,7896548198636,183.45,183.45,9.17,5% ,174.28
Combigan Allergan Solução Estéril 5mL,Allergan,7897316804926,152.53,152.53,7.63,5% ,144.9
"Xalatan 50mcg ml Frasco Gotejador 2,5ml",Upjohn Brasil,7908236800858,243.67,243.67,24.37,10% ,219.29999999999998
"Tartarato de Brimonidina 0,2  Solução Oftálmica 5ml Aché Biosintética Genérico",Biosintética - Aché,7896181913542,72.49,72.49,23.92,33% ,48.56999999999999
Prolopa Bd 100 25 Mg 30 Comprimidos,Roche,7896226506371,64.03,"R$ 52,80 ",9.6,15% ,54.43
Ekson 100 25mg com 30 Comprimidos,Não especificada,7896658033582,54.61,"R$ 51,38 ",1.64,3% ,52.97
Prolopa 200mg + 50mg Roche 30 Comprimidos Simples,Roche,7896226500515,128.01,"R$ 105,55 ",19.2,15% ,108.80999999999999
Vonau Flash Menta 8mg 10 Comprimidos,Não especificada,7896112401605,93.8,93.8,16.88,18% ,76.92
"Diamox 250Mg, Caixa Com 30 Comprimidos",Não especificada,7896006245339,27.27,"R$ 22,48 ",4.09,15% ,23.18
Latanoprosta 50mcg mL,Geolab,7899095238299,147.62,"R$ 60,14 ",85.62,58% ,62.0
"Glaucotrat 5Mg Ml, Caixa Com 1 Frasco Gotejador Com 5Ml De Solucao De Uso Oftalmico",União Química,7896006290162,16.22,"R$ 13,38 ",2.43,15% ,13.79
Cosopt 2  5mL Solução,Mundipharma,7898586631342,185.01,"R$ 141,78 ",38.85,21% ,146.16
Cloridrato de Dorzolamida 2  Germed Solução Oftalmológica 5ml,Não especificada,7896004726076,75.8,"R$ 52,94 ",21.22,28% ,54.58
Drusolol 5mL Solução Genom,União Química,7896006230052,100.18,"R$ 76,77 ",21.04,21% ,79.14000000000001
"Britens 2Mg Ml + 5Mg Ml, Caixa Com 1 Frasco Gotejador Com 10Ml De Solucao De Uso Oftalmico",União Química,7896006226215,170.73,"R$ 130,83 ",35.85,21% ,134.88
"Bimatoprosta Medley 0,3Mg Ml, Caixa Com 1 Frasco Gotejador Com 3Ml De Solucao De Uso Oftalmico",Medley,7896422532310,96.54,"R$ 62,74 ",31.86,33% ,64.68
"Maleato De Timolol 0,5  Neo Ge",Não especificada,7896714225753,13.2,"R$ 11,78 ",1.06,8% ,12.139999999999999
Clopidogrel 75 Mg 28 Comprimidos Sdz,Sandoz,7897595605924,172.74,"R$ 45,24 ",126.1,73% ,46.640000000000015
"Cilostazol Biosintetica 100Mg, Caixa Com 30 Comprimidos",Biosintética - Aché,7896181925859,44.27,"R$ 33,07 ",10.18,23% ,34.09
Clopin Duo 75mg + 100mg Com 30 Comprimidos,Aché,7896658032431,83.4,"R$ 68,76 ",12.51,15% ,70.89
"Acido Acetilsalicilico Ems 100Mg, Caixa Com 30 Comprimidos",EMS,7896004710891,11.6,"R$ 10,35 ",0.93,8% ,10.67
"Cilostazol Biosintetica 50Mg, Caixa Com 60 Comprimidos",Biosintética - Aché,7896181925828,26.99,"R$ 25,39 ",0.81,3% ,26.18
"Somalgin Cardio 100Mg + 30Mg + 15Mg, Caixa Com 60 Comprimidos Revestidos",EMS Sigma Pharma,7894916512022,49.69,"R$ 38,08 ",10.43,21% ,39.26
"Bissulfato De Clopidogrel Nova Quimica 75Mg, Caixa Com 28 Comprimidos Revestidos",Nova Química,7895296365017,70.41,"R$ 38,93 ",30.28,43% ,40.129999999999995
"Somalgin Cardio 81Mg + 24,3Mg + 12,15Mg, Caixa Com 60 Comprimidos Revestidos De Dupla Camada",EMS Sigma Pharma,7894916512107,32.1,"R$ 26,47 ",4.81,15% ,27.290000000000003
Cilostazol 50mg Genérico Eurofarma 30 Comprimidos,Eurofarma,7891317017002,40.2,"R$ 20,27 ",19.3,48% ,20.900000000000002
Vasogard 100mg caixa com 60 comprimidos,Aché,7896181907534,87.91,"R$ 72,48 ",13.19,15% ,74.72
Rivaroxabana 10mg 10 Comprimidos EMS Genérico,Medley,7891058002046,61.95,"R$ 25,24 ",35.93,58% ,26.020000000000003
Cilostazol 50mg 60 comprimidos Eurofarma Genérico,Eurofarma,7891317017019,48.55,"R$ 26,84 ",20.88,43% ,27.669999999999998
"Cilostazol Eurofarma 100Mg, Caixa Com 30 Comprimidos",Eurofarma,7891317435943,79.21,"R$ 32,27 ",45.94,58% ,33.269999999999996
Ecasil Ácido Acetilsalicílico 81mg 90 comprimidos,Biolab,7896112416463,51.1,"R$ 44,61 ",5.11,10% ,45.99
"Cilostazol Biosintetica 50mg, Caixa Com 30 Comprimidos",Biosintética - Aché,7896181925811,22.43,"R$ 18,92 ",2.92,13% ,19.509999999999998
"Clopin 75Mg, Caixa Contendo 30 Comprimidos Revestidos",Aché,7896658011924,68.13,"R$ 56,17 ",10.22,15% ,57.91
Cilostazol 100 Mg 60 Comprimidos Eur,Eurofarma,7891317452230,96.98,"R$ 48,92 ",46.55,48% ,50.43000000000001
Melhoral Infantil 8 Comprimidos X25,Cosmed,7896094915053,10.19,"R$ 9,88 ",0.0,0% ,10.19
Bissulfato de Clopidogrel 75mg 28 Comprimidos Revestidos - Medley,Medley,7896422516112,88.97,"R$ 53,51 ",33.81,38% ,55.16
"Cilostazol Biosintetica 100mg, Caixa Com 60 Comprimidos",Biosintética - Aché,7896181925866,54.13,"R$ 45,68 ",7.04,13% ,47.09
AAS Infantil 10 Comprimidos Sanofi,Cosmed,7896094922440,8.85,8.85,0.0,0% ,8.85
AAS Infantil 100mg 120 Comprimidos,Cosmed,7896094928091,90.76,90.76,0.0,0% ,90.76
"Vasogard 50mg, caixa com 60 comprimidos",Aché,7896181907626,38.81,38.81,0.0,0% ,38.81
"Plaq 75mg, caixa com 30 comprimidos revestidos",Eurofarma,7891317496760,61.17,61.17,11.01,18% ,50.160000000000004
"Cebralat 100mg, caixa com 60 comprimidos",Libbs,7896094202047,82.66,82.66,0.0,0% ,82.66
"Cebralat 50mg, caixa com 60 comprimidos",Libbs,7896094202030,41.18,41.18,7.41,18% ,33.769999999999996
"Cloridrato de Ticlopidina Medley 250mg, caixa com 30 comprimidos revestidos",Medley,7896422515801,89.55,89.55,16.12,18% ,73.42999999999999
Ácido Acetilsalicilico Infantil 100mg Genérico Cimed 30 Comprimidos,Cimed,7896523224534,9.67,9.67,0.29,3% ,9.38
Ácido Acetilsalicilico 100mg Cimed 10 Comprimidos,Cimed,7896523226712,3.05,3.05,0.0,0% ,3.05
Cilostazol 100mg Genérico EMS 30 Comprimidos,Não especificada,7896004761299,39.35,39.35,3.15,8% ,36.2
"Cilostazol Ems 100mg, caixa com 60 comprimidos",Não especificada,7896004761305,55.27,55.27,9.95,18% ,45.32000000000001
"Rivaroxabana Neo Química 10mg, caixa com 10 comprimidos Neo Química",Neo Química,7896714290799,69.81,69.81,0.0,0% ,69.81
"Loceryl Esmalte 50Mg Ml, Caixa Com 1 Frasco Com 2,5Ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",Galderma,7897930776722,163.1,"R$ 129,20 ",29.9,18% ,133.2
Nistatina + Oxido De Zinco Pomada Cimed 60Gr,Cimed,7896523226972,29.5,"R$ 17,56 ",11.4,39% ,18.1
"Gino-Canesten 500Mg, Caixa Com 1 Comprimido Vaginal + 1 Aplicador",Bayer,7891106916059,99.9,"R$ 77,50 ",20.0,20% ,79.9
"Cloridrato De Terbinafina Biosintetica 250Mg, Caixa Com 14 Comprimidos",Biosintética - Aché,7896181918998,137.75,"R$ 42,76 ",93.67,68% ,44.08
"Secnidazol Medley 1000Mg, Caixa Com 2 Comprimidos Revestidos",Medley,7896422505680,24.14,"R$ 21,54 ",1.93,8% ,22.21
Itraconazol 100mg Genérico Eurofarma 4 Cápsulas,Eurofarma,7891317191757,55.55,"R$ 33,41 ",21.11,38% ,34.44
"Dermodex Tratamento 100.000Ui G + 200Mg G, Caixa Com 1 Bisnaga Com 60G De Pomada De Uso Dermatologico",Takeda,7896016800917,93.68,"R$ 81,78 ",9.37,10% ,84.31
Fluconazol - Medley 150mg caixa com 2 cápsulas,Não especificada,7896422505079,38.29,"R$ 13,37 ",24.51,64% ,13.779999999999998
Petivit BC Xarope 240mL,Não especificada,7898100244485,26.9,"R$ 22,54 ",3.66,14% ,23.24
"Buclina 25Mg, Caixa Com 30 Comprimidos",Cosmed,7896094928077,20.77,"R$ 18,13 ",2.08,10% ,18.689999999999998
Coristina D Pro Com 16 Comprimidos,Não especificada,7891142982100,40.88,"R$ 37,56 ",2.16,5% ,38.72
Memoactive Tangerina Suspenção Oral 120mL,Não especificada,7896360001091,52.79,52.79,5.28,10% ,47.51
Imunovalle Kids Suplemento Alimentar 120mL Dovalle,Não especificada,7896360001985,88.22,88.22,8.82,10% ,79.4
Pomada Daivobet Leo Pharma 30g,Leo Pharma,5702191007916,157.96,"R$ 125,64 ",28.43,18% ,129.53
"Salicetil 100Mg, Blister Com 10 Comprimidos",Brasterápica,7898100242757,2.44,"R$ 2,37 ",0.0,0% ,2.44
"Acido Acetilsalicilico Ems 100Mg, Blister Com 10 Comprimidos",EMS,7896004710907,3.67,"R$ 3,56 ",0.0,0% ,3.67
AAS Protect 100mg 30 Comprimidos Revestidos,Cosmed,7896094928046,23.16,"R$ 19,10 ",3.47,15% ,19.69
"Aspirina Prevent 100Mg, Caixa Com 30 Comprimidos Revestidos",Bayer,7891106001946,24.34,"R$ 20,07 ",3.65,15% ,20.69
"Cetoconazol Comprimido Pharlab 200Mg, Caixa Com 10 Comprimidos",Pharlab,7898216367535,29.63,"R$ 20,69 ",8.3,28% ,21.33
"Nistatina Medley 25.000Ui G, Caixa Com 1 Bisnaga Com 60G De Creme De Uso Ginecologico + 14 Aplicadores",Medley,7896422504577,15.93,"R$ 14,99 ",0.48,3% ,15.45
"Cetoconazol Shampoo Cimed 20Mg Ml, Caixa Com 1 Frasco Com 100Ml De Shampoo",Cimed,7896523201801,30.56,"R$ 27,28 ",2.44,8% ,28.119999999999997
"Vodol 20Mg Ml, Frasco Spray Com 60Ml De Suspensao De Uso Dermatologico",União Química,7896006298564,53.0,"R$ 33,95 ",18.0,34% ,35.0
"Fentizol Ovulo 600Mg, Caixa Contendo 1 Ovulo De Uso Ginecologico + 1 Aplicador",Aché,7896658007309,90.53,"R$ 74,64 ",13.58,15% ,76.95
"Nitrato De Miconazol Creme Neo Quimica 20Mg G, Caixa Com 1 Bisnaga Com 28G De Creme De Uso Dermatologico",Neo Química,7896714223834,20.2,"R$ 17,63 ",2.02,10% ,18.18
Nistatina 100.000ui g + Óxido de Zinco 200mg g Neo Química Pomada 60g,Neo Química,7896714224688,27.85,"R$ 13,57 ",13.86,50% ,13.990000000000002
Cloridrato de Terbinafina 1  EMS Creme Dermatológico 20g,EMS,7896004701035,35.57,"R$ 24,15 ",10.67,30% ,24.9
Daktarin Gel Oral 40g,Janssen-Cilag,7896212479825,48.91,"R$ 42,70 ",4.89,10% ,44.019999999999996
"Ciclopirox Olamina Solucao Topica Medley 10Mg Ml, Caixa Com 1 Frasco Gotejador Com 15Ml De Solucao De Uso Dermatologico",Medley,7896422512145,24.03,"R$ 22,61 ",0.72,3% ,23.310000000000002
"Cloridrato De Terbinafina 250Mg Prati-Donaduzzi, Caixa Com 28 Comprimidos",Prati-Donaduzzi,7899547504682,162.47,"R$ 81,95 ",77.99,48% ,84.48
Clotrimazol 10 Mg Creme Dermatologico 20 Gramas  Ems Gen,EMS,7896004718453,15.84,"R$ 13,83 ",1.58,10% ,14.26
"Cetoconazol Creme Cimed 20Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Cimed,7896523201573,21.26,"R$ 20,00 ",0.64,3% ,20.62
Icaden Creme 20 Gramas,Leo Pharma,5702191025620,50.85,"R$ 43,41 ",6.1,12% ,44.75
Gino- Canesten 20mg  2   Creme Com 20g + 3 Aplicadores,Bayer,7891106003230,90.28,"R$ 87,57 ",0.0,0% ,90.28
Cetoconazol 200mg 10 comprimidos Cimed Genérico,Cimed,7896523210728,33.11,"R$ 23,12 ",9.27,28% ,23.84
Gino Canesten 50mg 5g Creme Vaginal 35g + 6 Aplicadores,Bayer,7891106001762,84.99,"R$ 75,84 ",6.8,8% ,78.19
"Nistatina Gotas Prati-Donaduzzi 100.000Ui Ml, Caixa Com 1 Frasco Gotejador Com 50Ml De Suspensao De Uso Oral",Prati-Donaduzzi,7898148293681,30.15,"R$ 25,44 ",3.92,13% ,26.229999999999997
Cetoconazol 200 Mg 30 Comprimidos Phar,Pharlab,7898216361816,73.91,"R$ 30,11 ",42.87,58% ,31.04
Crevagin Creme Vaginal 40 Gramas 7 Aplicadores,Eurofarma,7891317136468,51.19,"R$ 40,72 ",9.21,18% ,41.98
"Tinidazol + Nitrato De Miconazol Cosmed 30Mg G + 20Mg G, Caixa Com 1 Bisnaga Com 40G De Creme De Uso Ginecologico + 7 Aplicadores",Cosmed,7897322703794,43.23,"R$ 32,29 ",9.94,23% ,33.29
Fentizol Creme Vaginal 7 Aplicadores,Aché,7896658005091,46.66,"R$ 38,47 ",7.0,15% ,39.66
"Vodol 20Mg G, Caixa Com 1 Bisnaga Com 28G De Creme De Uso Dermatologico",União Química,7896006292005,33.23,"R$ 27,48 ",4.9,15% ,28.33
Lomecan Creme Vaginal 3 Dias 20 Gramas,Não especificada,7898636191321,54.99,"R$ 53,34 ",0.0,0% ,54.99
Clotrimazol 20 Mg Creme Vaginal Medley,Medley,7896422506434,60.16,"R$ 39,10 ",19.85,33% ,40.309999999999995
Itraconazol 100mg Genérico Eurofarma 15 Cápsulas,Eurofarma,7891317193164,168.84,"R$ 76,97 ",89.49,53% ,79.35000000000001
Abc Spray 30Ml,Kley Hertz Farmacêutica,7896331702583,43.95,"R$ 29,85 ",13.18,30% ,30.770000000000003
Fentizol Nitrato de Fenticonazol 20mg mL Spray 30mL,Aché,7896658001390,68.11,"R$ 56,15 ",10.22,15% ,57.89
"Albocresil 18Mg Ml, Caixa Com 1 Bisnaga Com 50G De Gel De Uso Ginecologico",Não especificada,7896641800016,32.79,"R$ 27,03 ",4.92,15% ,27.869999999999997
"Nitrato De Miconazol Creme Cimed 20Mg G, Caixa Com 1 Bisnaga Com 28G De Creme De Uso Dermatologico",Cimed,7896523201399,19.63,"R$ 17,14 ",1.96,10% ,17.669999999999998
Bissulfato de Clopidogrel 75mg Genérico Biolab 30 Comprimidos,Não especificada,7898146824450,54.3,"R$ 37,93 ",15.2,28% ,39.099999999999994
"Rivaroxabana 10Mg Ems, Caixa Com 10 Comprimidos Revestidos",EMS,7896004766980,82.37,"R$ 29,57 ",51.89,63% ,30.480000000000004
Cebralat 50mg 120 Comprimidos,Não especificada,7896094210684,71.61,"R$ 59,04 ",10.74,15% ,60.87
Brilinta 90mg 60 Comprimidos AstraZeneca,Não especificada,7896206403409,496.3,"R$ 409,20 ",74.44,15% ,421.86
"Cilostazol Ems 50mg, caixa com 60 comprimidos",Não especificada,7896004771762,27.54,"R$ 26,71 ",0.0,0% ,27.54
Somalgin Cardio 200mg 32 Comprimidos,Não especificada,7894916503419,31.51,"R$ 25,98 ",4.73,15% ,26.78
Somalgin Cardio 325mg 32 Comprimidos,EMS Sigma Pharma,7894916207546,46.64,"R$ 38,45 ",7.0,15% ,39.64
"Dipirona 1Gr Med, Caixa Com 10 Comprimidos",Não especificada,7891058002602,19.26,"R$ 15,88 ",2.89,15% ,16.37
"Rivaroxabana 10mg Germed, Caixa Com 10 Comprimidos Revestidos",Germed Pharma,7896004779386,82.37,82.37,51.89,63% ,30.480000000000004
"Dipirona Prati Donaduzzi 1G, Caixa Com 10 Comprimidos",Não especificada,7899547500356,16.58,16.58,0.5,3% ,16.08
"Nistatina Neo Quimica 25.000Ui G, Caixa Com 1 Bisnaga Com 60G De Creme De Uso Ginecologico + 14 Aplicadores",Neo Química,7896714265766,20.87,"R$ 18,62 ",1.67,8% ,19.200000000000003
"Gynopac 1000Mg + 100Mg + 150Mg, Caixa Com 4 Comprimidos + 1 Bisnaga Com 35G De Creme De Uso Ginecologico + 7 Aplicadores",Farmoquímica,7898040321550,129.11,"R$ 106,45 ",19.37,15% ,109.74000000000001
"Clotrimazol Ems 10Mg G, Caixa Com 1 Bisnaga Com 35G De Creme De Uso Ginecologico + 6 Aplicadores",EMS,7896004711423,55.53,"R$ 41,48 ",12.77,23% ,42.760000000000005
"Nitrato De Miconazol Locao Cimed 20Mg G, Caixa Com 1 Frasco Com 30Ml De Locao De Uso Dermatologico",Cimed,7896523227627,19.42,"R$ 16,96 ",1.94,10% ,17.48
"Nitrato De Miconazol Creme Ginecologico Prati-Donaduzzi 20Mg G, Caixa Com 1 Bisnaga Com 80G De Creme De Uso Ginecologico + 14 Aplicadores",Prati-Donaduzzi,7899547537802,30.18,"R$ 26,35 ",3.02,10% ,27.16
Gino Canesten Balance Gel Vaginal Com 7 Aplicadores De 5Ml,Não especificada,7891106915410,103.17,"R$ 71,77 ",29.18,28% ,73.99000000000001
"Fentizol 0,02G G, Caixa Contendo 1 Bisnaga Com Creme De Uso Dermatologico De 20G",Aché,7896658003981,43.36,"R$ 37,02 ",5.2,12% ,38.16
Nitrato de Miconazol 20mg g Prati Donaduzzi Creme 28g,Não especificada,7898148295340,19.93,"R$ 17,79 ",1.59,8% ,18.34
"Tioconazol + Tinidazol Prati-Donaduzzi 20Mg G + 30Mg G, Caixa Com 1 Bisnaga Com 35G De Creme De Uso Ginecologico + 7 Aplicadores",Prati-Donaduzzi,7898148298655,62.27,"R$ 55,57 ",4.98,8% ,57.290000000000006
Albocresil Policresuleno 360mg g Solução 12mL,Cosmed,7896094922006,39.85,"R$ 38,65 ",0.0,0% ,39.85
Clotrimazol 10 Mg Creme Vaginal 6 Apliocador Med,Medley,7896422506427,62.47,"R$ 46,66 ",14.37,23% ,48.1
Cloridrato de Terbinafina 250mg 14 Comprimidos,Não especificada,7899547504675,82.12,"R$ 45,41 ",35.31,43% ,46.81
Cetoconazol Shampoo 100Ml Ems,EMS,7896004700984,62.32,"R$ 33,25 ",28.04,45% ,34.28
Canesten Clotrimazol 10mg g Creme Dermatológico 20g,Bayer,7891106900591,31.88,"R$ 30,00 ",0.95,3% ,30.93
Furoato de Mometasona - Medley 1mg creme dermatológico bisnaga com 20g,Medley,7896422515344,40.08,"R$ 35,76 ",3.21,8% ,36.87
"Umma 20Mg G, Caixa Com 1 Bisnaga Com 6,5G De Creme De Uso Ginecologico + Aplicador",Cosmed,7897322711430,108.53,"R$ 89,48 ",16.28,15% ,92.25
Cloridrato de Terbinafina 250mg 28 comprimidos Bio,Não especificada,7896181919001,276.74,"R$ 85,90 ",188.18,68% ,88.56
Ciclopirox Olamina 10mg mL EMS Solução Tópica com 15mL,EMS,7896004727233,32.33,"R$ 25,71 ",5.82,18% ,26.509999999999998
Ciclopirox Olamina 10mg g Creme Dermatológico 20g Medley Genérico,Medley,7896422512169,31.68,"R$ 28,28 ",2.53,8% ,29.15
Secnidazol 1000mg Genérico Sandoz 2 Comprimidos,Não especificada,7895296393027,29.2,"R$ 23,22 ",5.26,18% ,23.939999999999998
"Nitrato de Fenticonazol 0,02g g Creme Vaginal Bisnaga 40g + 7 aplicadores descartáveis 5g Eurofarma Genérico",Eurofarma,7891317488833,53.19,"R$ 42,31 ",9.57,18% ,43.62
Gynazole-1 2  Creme Vaginal 5g + Aplicador,EMS Sigma Pharma,7894916501804,101.42,"R$ 88,54 ",10.14,10% ,91.28
Furoato de Mometasona Pomada 1mg g Genérico Germed 20g,Medley,7896422515368,40.08,"R$ 35,76 ",3.21,8% ,36.87
Fenticonazol Creme Vaginal 40g + 7 Aplicadores Genérico,Não especificada,7896004728766,55.7,"R$ 38,90 ",15.6,28% ,40.1
Cetoconazol 20mg g EMS Creme 30g,Não especificada,7896004718460,27.18,"R$ 20,30 ",6.25,23% ,20.93
Andriodermol Solução Tópica 50ml,União Química,7896006214007,24.88,24.88,5.4,22% ,19.479999999999997
Fluconazol 150mg 2 cápsulas EMS Genérico,Eurofarma,7891317003227,21.12,21.12,8.08,38% ,13.040000000000001
Fluconazol 150Mg 2Cap Cim Of,Cimed,7896523208770,20.96,20.96,11.96,57% ,9.0
Oxipelle 10mg ml Solução  frasco 20ml,Bausch + Lomb,7896862993207,58.2,58.2,8.73,15% ,49.47
Nitrato de Miconazol 20mg g Creme Vaginal 80g + 14 aplicadores Teuto Genérico,Não especificada,7896112189114,32.3,32.3,5.81,18% ,26.49
Secnidazol 1000mg 4 Comprimidos Medley Genérico,Medley,7896422505697,44.72,"R$ 37,74 ",5.81,13% ,38.91
"Furoato de Mometasona 50Mcg Eurofarma, Caixa Com 1 Frasco Com 120 Acionamentos",Não especificada,7891317010362,52.25,"R$ 39,02 ",12.02,23% ,40.230000000000004
Itraconazol 100mg 15 cápsulas  G  Sem,Não especificada,7896004708072,130.66,"R$ 78,58 ",49.65,38% ,81.00999999999999
Creme Contra Assaduras Nebacetin Baby Regeneração 60g,Não especificada,7896094929111,65.58,"R$ 51,69 ",12.29,19% ,53.29
Micothea Amolecedor Removedor Unha Encravada E Cutícula 30mL,Não especificada,7897528807739,79.0,"R$ 76,63 ",0.0,0% ,79.0
Micothea Fluido Preventivo Frieira E Regeneração Pele 30mL,Não especificada,7897528807715,79.0,"R$ 76,63 ",0.0,0% ,79.0
Ginna 40g Creme Eurofarma,Eurofarma,7891317489595,48.05,"R$ 39,61 ",7.21,15% ,40.839999999999996
Creme Dermatológico ABC 10mg g 20g,Kley Hertz Farmacêutica,7896331702545,17.23,"R$ 15,88 ",0.86,5% ,16.37
Fluconazol 150mg 2 cápsulas Germed Genérico,Não especificada,7896004707921,23.4,"R$ 13,62 ",9.36,40% ,14.04
Itraconazol  100mg  4 Cápsulas EMS Genérico,Não especificada,7896004708058,50.06,"R$ 34,96 ",14.02,28% ,36.040000000000006
Fluconazol 150mg 1 cápsula EMS Genérico,Eurofarma,7891317003210,13.24,13.24,6.83,52% ,6.41
"Clotrimazol Creme Dermatologico Medley 10Mg G, Caixa Com 1 Bisnaga Com 20G De Creme De Uso Dermatologico",Medley,7896422504812,15.56,15.56,1.56,10% ,14.0
Albocresil 6 óvulos,Cosmed,7896094922013,25.63,25.63,3.33,13% ,22.299999999999997
"Clotrimix 10mg/g, caixa com 1 bisnaga com 20g de creme de uso dermatológico",Farmoquímica,7898414851256,30.82,30.82,11.92,39% ,18.9
Cetoconazol 200mg 10 comprimidos Prati Genérico,Prati-Donaduzzi,7898148290406,37.75,37.75,14.34,38% ,23.41
"Secnidazol Nova Quimica 1000Mg, Caixa Com 4 Comprimidos Revestidos",Não especificada,7895296260022,48.49,48.49,6.3,13% ,42.190000000000005
Cetoconazol 200mg 30 comprimidos Cimed Genérico,Cimed,7896523210742,86.08,86.08,41.32,48% ,44.76
"Clotrimazol EMS Sigma Pharma 10mg/g, caixa com 1 bisnaga com 35g de creme de uso vaginal + 6 aplicadores",EMS Sigma Pharma,7895296268011,49.0,49.0,8.82,18% ,40.18
"Micolamina Esmalte 80mg/mg, caixa com 1 frasco com 6g de esmalte para unhas + 24 lixas",Theraskin,7897129300240,225.0,225.0,54.0,24% ,171.0
"Canesten 10mg/mL, caixa com 1 frasco spray com 30mL de solução de uso dermatológico",Bayer,7891106900614,59.49,"R$ 54,02 ",3.8,6% ,55.690000000000005
Cetoconazol 20mg g Neo Química Creme com 30g,Neo Química,7896714203416,24.89,24.89,4.48,18% ,20.41
"Nistatina Suspensão Oral Teuto 100.000UI/mL, caixa com 1 frasco com 50mL de suspensão de uso oral",Teuto,7896112126430,29.69,29.69,3.86,13% ,25.830000000000002
"Oxipelle 10mg/g, caixa com 1 bisnaga com 20g de creme de uso dermatológico",Bausch + Lomb,7898168006414,51.0,51.0,7.65,15% ,43.35
"Ciconazol Loção 20mg/g, caixa com 1 frasco com 30mL de loção de uso dermatológico",Cimed,7896523202556,18.08,18.08,7.23,40% ,10.849999999999998
"Lamisilate 10mg/g, caixa com 1 bisnaga com 30g de creme de uso dermatológico",GSK,7896261009011,35.32,35.32,4.59,13% ,30.73
Gyno-Icaden Creme Vaginal 40g + 7 Aplicadores,Bayer,7891106910163,100.91,100.91,9.08,9% ,91.83
Cetoconazol Arte Nativa Shampoo 100mL,Nativita Farmacêutica,7897848501065,34.84,34.84,0.0,0% ,34.84
Cetoconazol 20mg g Medley Creme Dermatológico 30g,Medley,7896422506267,27.69,27.69,4.98,18% ,22.71
Fluconazol 150mg 1 cápsula Vitamedic Genérico,Vitamedic,7898049796151,12.01,12.01,6.64,55% ,5.37
Fluconazol 150mg 2 cápsula Vitamedic Genérico,Vitamedic,7898049796168,17.4,17.4,0.0,0% ,17.4
"Nitazoxanida Eurofarma 20Mg Ml, Caixa Com 1 Frasco De Po Para Suspensao De Uso Oral  Frasco Com Capacidade De 100Ml  + Seringa Dosadora",Eurofarma,7891317172664,58.05,"R$ 46,17 ",10.45,18% ,47.599999999999994
