Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos",Não especificada,7896094209503,48.36,"R$ 39,88 ",7.25,15% ,41.11
"Mamades 0,075 Mg 28 Comprimidos",Eurofarma,7891317180621,42.32,"R$ 34,89 ",6.35,15% ,35.97
Cerazette 75mcg Organon 84 Comprimidos,Organon,7897337716208,142.82,"R$ 103,91 ",35.7,25% ,107.11999999999999
Yaz 24 + 4 Comprimidos Revestidos,Bayer,7891106915342,112.49,"R$ 89,47 ",20.25,18% ,92.24
Diminut 0075 + 002mg caixa com 21 comprimidos revestidos,Libbs,7896094200470,49.39,"R$ 39,29 ",8.89,18% ,40.5
Femina 150mcg + 20mcg 63 comprimidos,Aché,7896658002212,95.06,"R$ 75,61 ",17.11,18% ,77.95
Molieri 30mcg 21 Comprimidos,Eurofarma,7891317010119,71.2,"R$ 56,63 ",12.82,18% ,58.38
"Desogestrel + Etinilestradiol Eurofarma 0,150 + 0,020Mg, Caixa Com 21 Comprimidos",Eurofarma,7891317448936,38.25,"R$ 19,29 ",18.36,48% ,19.89
Adorlan 25mg + 25mg Grunenthal 20 Comprimidos,Grünenthal,7898582380558,124.93,"R$ 103,00 ",18.74,15% ,106.19000000000001
Previane 63 comprimidos,Não especificada,7896004818993,97.21,"R$ 44,32 ",51.52,53% ,45.68999999999999
Rivaroxabana 15mg 30 Comprimidos EMS Genérico,EMS,7896004780504,230.59,"R$ 49,21 ",179.86,78% ,50.72999999999999
"Femiane 0,075Mg + 0,020Mg, Caixa Com 21 Drageas",União Química,7896006201588,61.31,"R$ 48,76 ",11.04,18% ,50.27
"Desogestrel 0,075Mg Ems 84 Comprimidos",EMS,7896004768687,66.0,"R$ 42,89 ",21.78,33% ,44.22
"Nordette 0,15Mg + 0,03Mg, Caixa Com 21 Drageas",Wyeth/Pfizer,7891045008433,13.26,"R$ 9,65 ",3.31,25% ,9.95
"Norestin 0,35 Mg 35 Comprimidos",Biolab,7896241274903,15.13,"R$ 12,04 ",2.72,18% ,12.41
"Desogestrel 0,075Mg Ems 28 Comprimidos",EMS,7896004751641,23.61,"R$ 18,78 ",4.25,18% ,19.36
"Allestra 30mg 0,075mg + 0,030mg, Caixa Com 21 Comprimidos Revestidos",Aché,7896658037009,38.79,"R$ 30,86 ",6.98,18% ,31.81
"Rivaroxabana 20Mg Ache, Caixa Com 28 Comprimidos Revestidos",Não especificada,7896658038921,207.91,"R$ 54,46 ",151.77,73% ,56.139999999999986
"Gestrelan 0,15mg + 0,03mg com 21 comprimidos",Biolab,7896112403036,45.77,"R$ 36,40 ",8.24,18% ,37.53
Perola 75Mcg 28 Comprimidos Revestidos,Organon,7897337713382,48.08,"R$ 38,25 ",8.65,18% ,39.43
"Elani 28 3 + 0,03mg Caixa Com 28 Comprimidos Revestidos",Libbs,7896094207516,93.34,"R$ 74,24 ",16.8,18% ,76.54
"Elani Ciclo 3mg+0,03mg 63 Comprimidos Revestidos",Libbs,7896094203051,170.8,"R$ 124,26 ",42.7,25% ,128.10000000000002
"Micropil 0,075 + 0,030mg 21 Comprimidos",EMS Sigma Pharma,7894916206419,40.38,"R$ 32,12 ",7.27,18% ,33.11
"Minian 0,150Mg + 0,02Mg, Caixa Com 21 Comprimidos Revestidos",Libbs,7896094201354,44.86,"R$ 35,69 ",8.07,18% ,36.79
"Levonorgestrel 1,5Mg Cimed, Caixa Com 1 Comprimido",Não especificada,7896523200361,16.82,"R$ 11,42 ",5.05,30% ,11.77
"Levonorgestrel Melcon 1,5Mg, Caixa Com 1 Comprimido",Biosintética - Aché,7898907312264,27.88,"R$ 13,52 ",13.94,50% ,13.94
"Microvlar 0,15Mg + 0,03Mg, Caixa Com 21 Drageas",União Química,7896006201618,11.41,"R$ 9,08 ",2.05,18% ,9.36
