Nome,Marca,EAN,Preço,Preço com desconto,Valor do desconto,Porcentagem de desconto
Esomex 40mg com 28 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508971,258.77,219.95,38.81999999999999,15.0
Escilex 20mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507752,238.62,202.83,35.78999999999999,15.0
Cymbi 60mg com 30 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916509350,206.2,175.27,30.92999999999998,15.0
Escilex 10mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509190,201.21,155.33,45.879999999999995,22.8
Cymbi 30mg com 30 Cápsulas - Sigma Pharma,SIGMA PHARMA RX,7894916509343,109.6,93.16,16.439999999999998,15.0
Daforin 20mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509497,162.91,120.42,42.489999999999995,26.1
Patz SL 5mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916512992,147.22,125.14,22.08,15.0
Toragesic 10mg com 20 Comprimidos Sublinguais - Sigma Pharma,SIGMA PHARMA RX,7894916516013,49.39,49.39,0.0,0.0
Dalyne com 63 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509831,182.55,117.53,65.02000000000001,35.6
Brasart BCC 160 + 5mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916510103,201.38,149.19,52.19,25.9
Brasart BCC 320 + 5mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509329,120.34,86.12,34.22,28.4
Brasart BCC 160 + 5mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509305,112.52,85.7,26.819999999999993,23.8
Risedross 35mg com 12 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509541,238.18,157.5,80.68,33.9
Daforin 10mg com 20 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916203517,45.07,34.75,10.32,22.9
Niki com 24 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916510271,70.49,59.92,10.569999999999993,15.0
Brasart HCT 320 + 25mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508377,104.65,82.08,22.570000000000007,21.6
Queropax 25mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509503,86.61,68.79,17.819999999999993,20.6
"Brasart HCT 80 + 12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916508346,90.63,69.92,20.709999999999994,22.9
Niki com 72 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916510288,180.1,153.09,27.00999999999999,15.0
Escilex 15mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509626,151.67,98.3,53.36999999999999,35.2
Brasart BCC 320 + 10mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916509336,132.99,109.35,23.640000000000015,17.8
