"id","cfop","cfop_descr","cfop_descricao_movimento","cfop_ext","classificacao","descricao","grupo","operacao_saida_icms","origem_destino","sub_grupo","tipo","tipo_operacao","classificacao_adicional","modulo_de_compras","compras_transf","tipo_icms","custo"
"6132","6132","6132 | Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço, de ato cooperativo.","6132 | Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço, de ato cooperativo | Interestadual","132",Outras saídas,"Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço, de ato cooperativo.",Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Vendas De Produção Própria Ou De Terceiros,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6909","6909","6909 | Retorno de bem recebido por conta de contrato de comodato ou locação                                                 ","6909 | Retorno de bem recebido por conta de contrato de comodato ou locação | Interestadual                                                    ","909",Comodato,Retorno de bem recebido por conta de contrato de comodato ou locação                                                 ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1153","1153","1153 | Transferência de energia elétrica para distribuição                                                       ","1153 | Transferência de energia elétrica para distribuição | Dentro do estado                                                       ","153",Transferência - energia elétrica,Transferência de energia elétrica para distribuição                                                       ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,"Transferências para Industrialização, produção rural, comercialização ou prestação de serviços",Mercadoria,Entradas,"",Sim,Transferência,Crédito,Não
"1920","1920","1920 | Entrada de embalagens, bombonas, vasilhames, sacarias, pallets ou assemelhados                                                                           ","1920 | Entrada de embalagens, bombonas, vasilhames, sacarias, pallets ou assemelhados | Dentro do estado                                                                           ","920",Vasilhame e sacaria,"Entrada de embalagens, bombonas, vasilhames, sacarias, pallets ou assemelhados                                                                           ",Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Outras Entradas De Mercadorias Ou Aquisições De Serviços,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2658","2658","2658 | Transferência de combustível e lubrificante para industrialização                                         ","2658 | Transferência de combustível e lubrificante para industrialização | Interestadual                                            ","658",Transferência - insumo,Transferência de combustível e lubrificante para industrialização                                         ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,"Entradas de Combustíveis, derivados ou não de petróleo e lubrificantes",Mercadoria,Entradas,Transferência insumo,Sim,Transferência,Crédito,Não
"5160","5160","5160 | Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo","5160 | Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo | Dentro do estado","160",Outras saídas,Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo,Saídas Ou Prestações De Serviços Para O Estado,"",Dentro do estado,Transferências De Produção Própria Ou De Terceiros,Mercadoria,Saídas,"",Não,Não,Débito,Não
"5912","5912","5912 | Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento                                                            ","5912 | Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento | Dentro do estado                                                            ","912",Demonstração,"Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento                                                            ",Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6411","6411","6411 | Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária.    ","6411 | Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição | Interestadual        ","411",Devolução - com ST,Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária.    ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Saídas De Mercadorias Sujeitas Ao Regime De Substituição Tributária,Mercadoria,Saídas,"",Não,Não,Débito,Não
Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP,Operação sem CFOP
"1455","1455","1455 | Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural","1455 | Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural | Dentro do estado","455",Outras entradas,Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Sistemas de Integração e parceria rural,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2254","2254","2254 | Compra de energia elétrica por estabelecimento prestador de serviço de transporte                         ","2254 | Compra de energia elétrica por estabelecimento prestador de serviço de transporte | Interestadual                            ","254",Energia elétrica,Compra de energia elétrica por estabelecimento prestador de serviço de transporte                         ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Compras De Energia Elétrica,Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"3301","3301","3301 | Aquisição de serviço de comunicação para execução de serviço da mesma natureza                            ","3301 | Aquisição de serviço de comunicação para execução de serviço da mesma natureza | Importação                                  ","301",Serviço de comunicação,Aquisição de serviço de comunicação para execução de serviço da mesma natureza                            ,Entradas Ou Aquisições De Serviços Do Exterior,"",Importação,Aquisições De Serviços De Comunicação,Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"5453","5453","5453 | Retorno de animal ou da produção -  Sistema de Integração e Parceria Rural","5453 | Retorno de animal ou da produção -  Sistema de Integração e Parceria Rural | Dentro do estado","453",Outras saídas,Retorno de animal ou da produção -  Sistema de Integração e Parceria Rural,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Sistemas De Integração e Parceria rural,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6152","6152","6152 | Transferência de mercadoria adquirida ou recebida de terceiros                                            ","6152 | Transferência de mercadoria adquirida ou recebida de terceiros | Interestadual                                               ","152",Transferência - revenda,Transferência de mercadoria adquirida ou recebida de terceiros                                            ,Saídas Ou Prestações De Serviços Para Outros Estados,Transferência,Interestadual,Transferências De Produção Própria Ou De Terceiros,Mercadoria,Saídas,Transferência produto acabado,Não,Não,Débito,Não
"6911","6911","6911 | Remessa de amostra grátis                                                                                 ","6911 | Remessa de amostra grátis | Interestadual                                                                                    ","911",Amostra grátis,Remessa de amostra grátis                                                                                 ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1456","1456","1456 | Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural","1456 | Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural | Dentro do estado","456",Outras entradas,Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Sistemas de Integração e parceria rural,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2255","2255","2255 | Compra de energia elétrica por estabelecimento prestador de serviço de comunicação                        ","2255 | Compra de energia elétrica por estabelecimento prestador de serviço de comunicação | Interestadual                           ","255",Energia elétrica,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação                        ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Compras De Energia Elétrica,Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"3351","3351","3351 | Aquisição de serviço de transporte para execução de serviço da mesma natureza                             ","3351 | Aquisição de serviço de transporte para execução de serviço da mesma natureza | Importação                                   ","351",Serviço de transporte,Aquisição de serviço de transporte para execução de serviço da mesma natureza                             ,Entradas Ou Aquisições De Serviços Do Exterior,"",Importação,Aquisições De Serviços De Transporte,Transporte,Entradas,"",Sim,Compra,Crédito,Sim
"5454","5454","5454 | Retorno simbólico de animal ou da produção -  Sistema de Integração e Parceria Rural","5454 | Retorno simbólico de animal ou da produção -  Sistema de Integração e Parceria Rural | Dentro do estado","454",Outras saídas,Retorno simbólico de animal ou da produção -  Sistema de Integração e Parceria Rural,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Sistemas De Integração e Parceria rural,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6153","6153","6153 | Transferência de energia elétrica                                                                         ","6153 | Transferência de energia elétrica | Interestadual                                                                            ","153",Transferência - energia elétrica,Transferência de energia elétrica                                                                         ,Saídas Ou Prestações De Serviços Para Outros Estados,Transferência,Interestadual,Transferências De Produção Própria Ou De Terceiros,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6912","6912","6912 | Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento                                                            ","6912 | Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento | Interestadual                                                               ","912",Demonstração,"Remessa de mercadoria ou bem para demonstração, mostruário ou treinamento                                                            ",Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1501","1501","1501 | Entrada de mercadoria recebida com fim específico de exportação                                           ","1501 | Entrada de mercadoria recebida com fim específico de exportação | Dentro do estado                                           ","501",Outras entradas,Entrada de mercadoria recebida com fim específico de exportação                                           ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Entradas de mercadorias remetidas para  formação de lote ou com fim específico de exportação e  eventuais devoluções,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2256","2256","2256 | Compra de energia elétrica por estabelecimento de produtor rural                                          ","2256 | Compra de energia elétrica por estabelecimento de produtor rural | Interestadual                                             ","256",Energia elétrica,Compra de energia elétrica por estabelecimento de produtor rural                                          ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Compras De Energia Elétrica,Mercadoria,Entradas,"",Sim,Compra,Crédito,Sim
"3352","3352","3352 | Aquisição de serviço de transporte por estabelecimento industrial                                         ","3352 | Aquisição de serviço de transporte por estabelecimento industrial | Importação                                               ","352",Serviço de transporte,Aquisição de serviço de transporte por estabelecimento industrial                                         ,Entradas Ou Aquisições De Serviços Do Exterior,"",Importação,Aquisições De Serviços De Transporte,Transporte,Entradas,"",Sim,Compra,Crédito,Sim
"5455","5455","5455 | Retorno de insumos não utilizados na produção -  Sistema de Integração e Parceria Rural","5455 | Retorno de insumos não utilizados na produção -  Sistema de Integração e Parceria Rural | Dentro do estado","455",Outras saídas,Retorno de insumos não utilizados na produção -  Sistema de Integração e Parceria Rural,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Sistemas De Integração e Parceria rural,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6155","6155","6155 | Transferência de produção do estabelecimento, que não deva por ele transitar                              ","6155 | Transferência de produção do estabelecimento, que não deva por ele transitar | Interestadual                                 ","155",Transferência - produção,"Transferência de produção do estabelecimento, que não deva por ele transitar                              ",Saídas Ou Prestações De Serviços Para Outros Estados,Transferência,Interestadual,Transferências De Produção Própria Ou De Terceiros,Mercadoria,Saídas,Transferência produto acabado,Não,Não,Débito,Não
"6913","6913","6913 | Retorno de mercadoria ou bem recebido para demonstração ou mostruário                                                   ","6913 | Retorno de mercadoria ou bem recebido para demonstração ou mostruário | Interestadual                                                      ","913",Demonstração,Retorno de mercadoria ou bem recebido para demonstração ou mostruário                                                   ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1216","1216","1216 | Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo","1216 | Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo | Dentro do estado","216",Devolução,Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,"Devoluções De Vendas De Produção Própria, De Terceiros Ou Anulações De Valores",Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2116","2116","2116 | Compra para industrialização ou produção rural originada de encomenda para recebimento futuro             ","2116 | Compra para industrialização ou produção rural originada de encomenda para recebimento futuro | Interestadual                ","116",Insumo,Compra para industrialização ou produção rural originada de encomenda para recebimento futuro             ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,"Compras para industrialização rural, comercialização ou prestação de serviços",Mercadoria,Entradas,"",Sim,Compra,Crédito,Sim
"2910","2910","2910 | Entrada de bonificação, doação ou brinde                                                                  ","2910 | Entrada de bonificação, doação ou brinde | Interestadual                                                                     ","910","Bonificação, doação ou brinde","Entrada de bonificação, doação ou brinde                                                                  ",Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Outras Entradas De Mercadorias Ou Aquisições De Serviços,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"5254","5254","5254 | Venda de energia elétrica para estabelecimento prestador de serviço de transporte                         ","5254 | Venda de energia elétrica para estabelecimento prestador de serviço de transporte | Dentro do estado                         ","254",Energia elétrica,Venda de energia elétrica para estabelecimento prestador de serviço de transporte                         ,Saídas Ou Prestações De Serviços Para O Estado,Receita,Dentro do estado,Vendas De Energia Elétrica,Mercadoria,Saídas,Receita,Não,Não,Débito,Não
"5928","5928","5928 | Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa       ","5928 | Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa | Dentro do estado       ","928",Encerramento de atividade,Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa       ,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6551","6551","6551 | Venda de bem do ativo imobilizado                                                                         ","6551 | Venda de bem do ativo imobilizado | Interestadual                                                                            ","551",Ativo Imobilizado,Venda de bem do ativo imobilizado                                                                         ,Saídas Ou Prestações De Serviços Para Outros Estados,Receita,Interestadual,Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo,Mercadoria,Saídas,Receita,Não,Não,Débito,Não
