"id","bacen","dt_fim","dt_ini","nome","situacao"
"106","3573",NULL,NULL,IEMEN,NULL
"159","5177",NULL,NULL,NEPAL,NULL
"132","4472",NULL,NULL,MACAU,NULL
"81","2712",NULL,NULL,FINLANDIA,NULL
"13","639",NULL,NULL,ARGENTINA,NULL
"154","5010",NULL,NULL,MONTSERRAT,ILHAS
"77","2534",NULL,NULL,ETIOPIA,NULL
"2","153",NULL,NULL,ALAND, ILHAS
"203","6998",NULL,NULL,SAO MARTINHO, ILHA DE (PARTE HOLANDESA)
"158","5118",NULL,NULL,CHRISTMAS,ILHA (NAVIDAD)
"57","1902",NULL,NULL,COREIA (DO SUL), REPUBLICA DA
"20","809",NULL,NULL,BAHREIN, ILHAS
"216","7501",NULL,NULL,SRI LANKA,NULL
"221","7600",NULL,NULL,SUDÃO DO SUL,NULL
"155","5053",NULL,NULL,MOCAMBIQUE,NULL
"32","9999",NULL,NULL,BOUVET, ILHA
"164","5355",NULL,NULL,NORFOLK,ILHA
"14","647",NULL,NULL,ARMENIA, REPUBLICA DA
"173","5754",NULL,NULL,PALAU,NULL
"149","4944",NULL,NULL,MOLDAVIA, REPUBLICA DA
"156","5070",NULL,NULL,NAMIBIA,NULL
"93","3131",NULL,NULL,GUAM,NULL
"99","3344",NULL,NULL,GUINE-BISSAU,NULL
"160","5215",NULL,NULL,NICARAGUA,NULL
"247","8486",NULL,NULL,VATICANO, EST.DA CIDADE DO
"101","3417",NULL,NULL,HAITI,NULL
"108","3599",NULL,NULL,BONAIRE,ALTERADO
"141","4740",NULL,NULL,MARROCOS,NULL
"116","3867",NULL,NULL,ITALIA,NULL
"244","8338",NULL,NULL,UGANDA,NULL
"213","7412",NULL,NULL,CINGAPURA,NULL
"211","7358",NULL,NULL,SERRA LEOA,NULL
"146","4885",NULL,NULL,MAYOTTE (ILHAS FRANCESAS),ALTERADO
"139","4677",NULL,NULL,MALTA,NULL
"130","4421",NULL,NULL,LITUANIA, REPUBLICA DA
"220","7595",NULL,NULL,SUDAO,NULL
"23","850",NULL,NULL,BELARUS, REPUBLICA DA
"140","4723",NULL,NULL,MARIANAS DO NORTE,NULL
"168","5487",NULL,NULL,NOVA ZELANDIA,NULL
"172","5738",NULL,NULL,PAISES BAIXOS (HOLANDA),NULL
"124","4260",NULL,NULL,LESOTO,NULL
"21","817",NULL,NULL,BANGLADESH,NULL
"51","1651",NULL,NULL,COCOS(KEELING),ILHAS
"205","7056",NULL,NULL,SAO VICENTE E GRANADINAS,NULL
"85","2895",NULL,NULL,GANA,NULL
"187","6408",NULL,NULL,REPUBLICA CENTRO-AFRICANA,NULL
"98","3310",NULL,NULL,GUINE-EQUATORIAL,NULL
"59","1953",NULL,NULL,CROACIA (REPUBLICA DA),NULL
"73","2461",NULL,NULL,ESLOVENIA, REPUBLICA DA
"97","3298",NULL,NULL,GUINE,NULL
"152","4985",NULL,NULL,MONTENEGRO,NULL
"241","8273",NULL,NULL,TURQUIA,NULL
"119","3999",NULL,NULL,JAPAO,NULL
"64","2003",NULL,NULL,CURACAO,ALTERADO
"212","7370",NULL,NULL,SERVIA,NULL
"251","8664",NULL,NULL,VIRGENS,ILHAS (E.U.A.)
"6","370",NULL,NULL,ANDORRA,NULL
"215","7480",NULL,NULL,SOMALIA,NULL
"25","884",NULL,NULL,BELIZE,NULL
"84","2852",NULL,NULL,GAMBIA,NULL
"11","531",NULL,NULL,ARABIA SAUDITA,NULL
"72","2453",NULL,NULL,ESPANHA,NULL
"22","833",NULL,NULL,BARBADOS,NULL
"47","1589",NULL,NULL,CHILE,NULL
"35","1112",NULL,NULL,BULGARIA, REPUBLICA DA
"217","7544",NULL,NULL,ESSUATINI,APENAS ALTERAÇÃO DE 
"133","4499",NULL,NULL,MACEDONIA DO NORTE,APENAS ALTERAÇÃO DE 
"243","8311",NULL,NULL,UCRANIA,NULL
"192","6750",NULL,NULL,RUANDA,NULL
"235","8052",NULL,NULL,TOQUELAU,ILHAS
"1","132",NULL,NULL,AFEGANISTAO,NULL
"44","1508","2018-05-31 00:00:00.0000000","2006-01-01 00:00:00.0000000",JERSEY, ILHA DO CANAL
"136","4588",NULL,NULL,MALAVI,NULL
"114","3794",NULL,NULL,ISLANDIA,NULL
"91","3050",NULL,NULL,GROENLANDIA,NULL
"227","7803",NULL,NULL,TANZANIA, REP.UNIDA DA
"100","3379",NULL,NULL,GUIANA,NULL
"105","3557",NULL,NULL,HUNGRIA, REPUBLICA DA
"176","5800",NULL,NULL,PANAMA,NULL
"12","590",NULL,NULL,ARGELIA,NULL
"94","3174",NULL,NULL,GUATEMALA,NULL
"202","6980",NULL,NULL,SAO MARTINHO, ILHA DE (PARTE FRANCESA)
"127","4340",NULL,NULL,LIBERIA,NULL
"166","5428",NULL,NULL,NOVA CALEDONIA,NULL
"40","1414",NULL,NULL,CAMBOJA,NULL
"8","418",NULL,NULL,ANGUILLA,NULL
"55","1830",NULL,NULL,COOK, ILHAS
"143","4774",NULL,NULL,MARTINICA,NULL
"199","6955",NULL,NULL,SAO CRISTOVAO E NEVES,ILHAS
"208","7200",NULL,NULL,SAO TOME E PRINCIPE, ILHAS
"34","1082",NULL,NULL,BRUNEI,NULL
"67","2356",NULL,NULL,DOMINICA,ILHA
"231","7889",NULL,NULL,CHADE,NULL
"151","4979",NULL,NULL,MONGOLIA,NULL
"204","7005",NULL,NULL,SAO PEDRO E MIQUELON,NULL
"122","4200",NULL,NULL,LAOS, REP.POP.DEMOCR.DO
"118","3930",NULL,NULL,JERSEY, ILHA DO CANAL
"144","4855",NULL,NULL,MAURICIO,NULL
"82","2755",NULL,NULL,FRANCA,NULL
"254","8885",NULL,NULL,CONGO, REPUBLICA DEMOCRATICA DO
"148","4936",NULL,NULL,MEXICO,NULL
"103","3450",NULL,NULL,HONDURAS,NULL
"71","2445",NULL,NULL,EMIRADOS ARABES UNIDOS,NULL
"181","6033",NULL,NULL,POLONIA, REPUBLICA DA
"36","1155",NULL,NULL,BURUNDI,NULL
"65","2291",NULL,NULL,BENIN,NULL
"27","930",NULL,NULL,MIANMAR (BIRMANIA),NULL
