"rown","id_cnpj","id_dt_ini","id_dt_fin","uf","cod_aj","descr_sped","vl_aj_apur","fonte_sped","descr_abrev","descr_aj","deb_ou_cred","tipo_aj","nome_tipo_aj","centralizacao","fonte","chv_nf","id_importation","has_nf","origem_ajuste"
1,"35068230000177","01/03/2023","31/03/2023",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/10/2023","31/10/2023",RS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/01/2023","31/01/2023",TO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001257","01/09/2023","30/09/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/09/2023","30/09/2023",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/12/2023","31/12/2023",SP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000410","20/10/2023","31/10/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000410","01/11/2023","30/11/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001257","01/08/2023","31/08/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/06/2023","30/06/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/10/2023","31/10/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/10/2022","31/10/2022",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/07/2023","31/07/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001176","01/11/2023","30/11/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001257","01/10/2023","31/10/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000410","20/10/2023","31/10/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/01/2023","31/01/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
