"cnpj","filial","competencia","notas_totais","notas_faltantes","porcentagem_faltante"
"09017661000366",Torres Comercio de Calcados - Eireli,"03/2023",220,138,"62.73%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"09/2023",15,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",1853,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",4960,4960,"100.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",283,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",188,0,"0.00%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",2672,0,"0.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",202,0,"0.00%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"09/2023",191,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",219,89,"40.64%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"08/2023",339,0,"0.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"02/2023",180,118,"65.56%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",401,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",130,86,"66.15%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",187,0,"0.00%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",182,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",200,76,"38.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"07/2023",287,136,"47.39%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",270,65,"24.07%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",174,102,"58.62%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",146,0,"0.00%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"08/2022",248,0,"0.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",513,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",172,89,"51.74%"
