"id_cnpj","reg","dt_ini","dt_fin","vl_tot_debitos","vl_tot_debitos_sped","diff_total_debito","vl_aj_debitos","vl_tot_aj_debitos","vl_estornos_cred","total_ajuste_debitos","vl_tot_creditos","vl_tot_creditos_sped","diff_tot_creditos","vl_aj_creditos","vl_tot_aj_creditos","vl_estornos_deb","total_ajuste_creditos","vl_sld_credor_ant_sped","vl_sld_credor_ant","diff_sld_credor_ant","vl_tot_ded","deb_esp","vl_apurado_no_periodo","apuracao_icms","id_importation","dt_created","dt_updated","year","month","day","hour","minute","rown"
"09017661000102",E100,"01/12/2023","31/12/2023",38529.399999999965,"38529,4",0.0000000000363798,"279,17",305194.59,0.0,305473.76,37474.66999999999,"37474,67",0.000000000007276,"95,16",80578.08,0.0,80673.24,"0","225855.25",-188380.58000000007,"0","0",225855.25000000006,225855.25000000006,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000790",E100,"01/03/2023","31/03/2023",84297.89999999997,"84297,9",0.0000000000291038,"0",0.0,0.0,0.0,71529.48,"71529,48",0.0,"0",12768.42,0.0,12768.42,"0",-0.00,71529.48,"0","0",-0.000000000001819,-0.000000000001819,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000366",E100,"01/04/2023","30/04/2023",45436.730000000025,"45436,73",-0.0000000000218279,"0,00",0.0,0.0,0.0,62878.509999999966,"62878,51",0.0000000000363798,"0,00",0.0,0.0,0.0,"19991,28",-37433.06,100311.57,"0,00","0,00",-17441.78,-37433.06,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000528",E100,"01/07/2023","31/07/2023",133183.6500000003,"133183,65",-0.0000000003201421,"54,09",117112.06,0.0,117166.15,188014.9200000002,"188014,92",-0.000000000174623,"33,60",0.0,0.0,33.6,"62301,28",-0.00,188014.92000000004,"0,00","0,00",62301.27999999998,-0.0000000000218279,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001257",E100,"01/08/2023","31/08/2023",0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,"0,00","0.00",0.0,"0,00","0,00",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001095",E100,"01/06/2023","30/06/2023",57476.369999999995,"57476,37",0.000000000007276,"0",0.0,0.0,0.0,30020.120000000014,"30020,12",-0.0000000000145519,"0",0.0,0.0,0.0,"83937,12",-56480.87,86500.98999999999,"0","0",27456.250000000004,-56480.869999999995,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000870",E100,"01/07/2023","31/07/2023",61717.269999999946,"61717,27",0.0000000000509317,"0,00",0.0,0.0,0.0,32560.650000000034,"32560,65",-0.0000000000327418,"0,00",26269.84,0.0,26269.84,"2886,78",-0.00,32560.650000000005,"0,00","0,00",2886.779999999995,-0.0000000000050022,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000790",E100,"01/09/2023","30/09/2023",39092.0,"39092",0.0,"0",0.0,0.0,0.0,27187.19000000001,"27187,19",-0.0000000000109139,"0",10611.08,0.0,10611.08,"1293,73","0.00",27187.19,"0","0",1293.7300000000014,0.0000000000013642,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001176",E100,"01/10/2023","31/10/2023",29267.55999999999,"29267,56",0.0000000000109139,"0",38776.82,0.0,38776.82,26311.379999999972,"26311,38",0.0000000000291038,"0",0.0,0.0,0.0,"41733","41733.00",-15421.619999999999,"0","0",41733.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000102",E100,"01/04/2023","30/04/2023",50982.1,"50982,10",0.0,"29,71",48567.19,0.0,48596.9,80988.19000000006,"80988,19",-0.0000000000582077,"17,48",18573.33,0.0,18590.81,"0,00",-0.00,80988.19,"0,00","0,00",-0.000000000003638,-0.000000000003638,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
